name,change,opt
Морковь по-корейски,f,f
Имбирь маринованный,f,f
Перец острый маринованный,f,f
Огурцы корнишоны,f,f
Огурцы соленые,f,f
Огурцы маринованные,f,f
Огурцы малосольные,f,f
Капуста квашеная,f,f
Грибы консервированные,f,f
Консервированный Горошек,f,f
Консервированная Кукуруза,f,f
Консервированные Огурцы,f,f
Консервированные Томаты,f,f
консервированные Оливки,f,f
консервированные Маслины,f,f
Консервированная Фасоль,f,f
Консервированные Грибы,f,f
Икра овощная,f,f
Консервированный Ананас,f,f
Консервированный Персик,f,f
Консервированный Абрикос,f,f
Консервированное Яблоко,f,f
Консервированное Манго,f,f
Консервированная Груша,f,f
Консервированная Клубника,f,f
