name,change,opt
Форель,f,f
Семга,f,f
Кижуч,f,f
Лосось,f,f
Горбуша,f,f
Нерка,f,f
Дорада,f,f
Сибас,f,f
Треска,f,f
Минтай,f,f
Тунец,f,f
Пангасиус,f,f
Тилапия,f,f
Скумбрия,f,f
Окунь,f,f
Хек,f,f
Палтус,f,f
Камбала,f,f
Зубатка,f,f
Салака,f,f
Мойва,f,f
Сардина,f,f
Корюшка,f,f
Омуль,f,f
Килька,f,f
Сайра,f,f
Криль,f,f
Селедка,f,f
Шпроты,f,f
Марлин,f,f
Анчоус,f,f
Ряпушка,f,f
Язь,f,f
Налим,f,f
Пыжьян,f,f
Осетр,f,f
Кета,f,f
Вобла,f,f
Щука,f,f
Плотва,f,f
Лещ,f,f
Густера,f,f
Красноперка,f,f
Чехонь,f,f
Путассу,f,f
Таранка,f,f
Карп,f,f
Фарш рыбный,f,f
Рыбная консерва,f,f
Сушеная рыба,f,f
Вяленая рыба,f,f
Копченая рыба,f,f
Соленая рыба,f,f
Икра рыбная,f,f
Крабовое мясо,f,f
Крабовые палочки,f,f
Креветки,f,f
Мидии,f,f
Кальмары,f,f
Коктейль из морепродуктов,f,f
Устрицы,f,f
