name,change,opt
Порошок,f,f
Гель для стирки,f,f
Кондиционер для стирки,f,f
Отбеливатель,f,f
Средство от пятен,f,f
Антистатик,f,f
Средство для мытья посуды,f,f
Губки чистящие,f,f
Чистящее средство для кухни,f,f
Чистящее средство для туалета,f,f
Чистящее средство для ванны,f,f
Средство для труб,f,f
Средство для стекол,f,f
Салфетки чистящие,f,f
Перчатки хозяйственные,f,f
Освежитель воздуха,f,f
Губка для обуви,f,f
Ролик для одежды,f,f
Пакеты для мусора,f,f
Батарейки,f,f
Лампочка,f,f
Пергамент для выпечки,f,f
Рукав для запекания,f,f
Пищевая пленка,f,f
