name,change,opt
Филе грудки индейки,f,f
Филе грудки курицы,f,f
Филе грудки утиное,f,f
Голень индейки,f,f
Голень куриная,f,f
Бедро индейки,f,f
Бедро куриное,f,f
Тушка индейки,f,f
Тушка ципленка,f,f
Тушка утиная,f,f
Тушка перепела,f,f
Крылья индейки,f,f
Крылья купиные,f,f
Грудка индейки,f,f
Грудка куриная,f,f
Окорочка индейки,f,f
Окорочка куриные,f,f
Окорочка утиные,f,f
Филе бедра куриное,f,f
Азу из мяса индейки,f,f
Эскалоп индейки,f,f
Котлета из мяса индейки,f,f
Котлета из мяса курицы,f,f
Стейк индейки,f,f
Стейк куриный,f,f
Стейк Рибай,f,f
Стейк из мраморной говядины,f,f
Стейк говяжий,f,f
Мясо говяжье,f,f
Лопатка говяжья,f,f
Шейная часть говяжья,f,f
Гуляш из говядины,f,f
Огузок говяжий,f,f
Азу из мяса говядины,f,f
Грудинка говяжья,f,f
Мясо телятины,f,f
Мясо баранье,f,f
Стейк из баранины,f,f
Корейка баранья,f,f
Шейка баранья,f,f
Лопатка баранья,f,f
Мясо кролика,f,f
Тушка кролика,f,f
Ножки кролика,f,f
Эскалоп свиной,f,f
Шейка свиная,f,f
Корейка свиная,f,f
Грудинка свиная,f,f
Вырезка свиная,f,f
Лопатка свиная,f,f
Поджарка свиная,f,f
Гуляш из свинины,f,f
Котлета свиная,f,f
Медальон из свинины,f,f
Окорок свиной,f,f
Ребрышки свиные,f,f
Бекон,f,f
Фарш куриный,f,f
Фарш свиной,f,f
Фарш говяжий,f,f
Фарш свино-говяжий,f,f
Фарш из индейки,f,f
Фарш из мяса кролика,f,f
Печень ципленка,f,f
Печень индейки,f,f
Сердце циплят,f,f
Печень говяжья,f,f
Язык говяжий,f,f
Сердце индейки,f,f
Желудочки куриные,f,f
