name,change,opt
Маски гигиенические,f,f
Антисептик,f,f
Прокладки,f,f
Тампоны,f,f
Бинты,f,f
Пластыри,f,f
Витамины,f,f
Туалетная бумага,f,f
Бумажные полотенца,f,f
Салфетки,f,f
Ватные диски,f,f
Влажные салфетки,f,f
Ватные палочки,f,f
Бумажные платочки,f,f
Зубная паста,f,f
Щётка зубная,f,f
Ополаскиватель для рта,f,f
Зубные нити,f,f
Зубочистки,f,f
Шампуни,f,f
Бальзам для волос,f,f
Маска,f,f
Кондиционер для волос,f,f
Несмываемый уход,f,f
Сухие шампуни,f,f
Термозащита,f,f
Мыло,f,f
Гель для душа,f,f
Дезодорант,f,f
Презервативы,f,f
Смазка,f,f
