name,change,opt
Томаты,f,f
Томаты черри,f,f
Картошка,f,f
Огурцы,f,f
Лук,f,f
Морковь,f,f
Перец сладкий,f,f
Авокадо,f,f
Кабачки,f,f
Баклажаны,f,f
Свекла,f,f
Капуста,f,f
Капуста брокколи,f,f
Капуста пекинская,f,f
Чеснок,f,f
Редис,f,f
Кукуруза,f,f
Имбирь,f,f
Патисоны,f,f
Фасоль,f,f
Редька,f,f
Тыква,f,f
Салат листовой (Латук),f,f
Рукола,f,f
Шпинат,f,f
Лук зеленый,f,f
Кинза,f,f
Базилик,f,f
Укроп,f,f
Петрушка,f,f
Розмарин,f,f
Майоран,f,f
Мята,f,f
Тимьян,f,f
Орегано,f,f
Сельдерей,f,f
Шалфей,f,f
Щавель,f,f
Дыня,f,f
Нектарины,f,f
Персики,f,f
Яблоки,f,f
Бананы,f,f
Апельсины,f,f
Лимоны,f,f
Грейпфрут,f,f
Мандарины,f,f
Манго,f,f
Ананас,f,f
Груши,f,f
Виноград,f,f
Слива,f,f
Киви,f,f
Кокос,f,f
Абрикосы,f,f
Айва,f,f
Гранат,f,f
Инжир,f,f
Лаймы,f,f
Маракуйя,f,f
Питахайя,f,f
Фейхоа,f,f
Папайя,f,f
Помело,f,f
Арбуз,f,f
Малина,f,f
Голубика,f,f
Физалис,f,f
Облепиха,f,f
Смородина,f,f
Черешня,f,f
Вишня,f,f
Брусника,f,f
Ежевика,f,f
Клубника,f,f
Клюква,f,f
Крыжовник,f,f
Кизил,f,f
Шампиньоны,f,f
Белые грибы,f,f
Лисички,f,f
Подосиновики,f,f
Вешенки,f,f
Опята,f,f
Шиитаке,f,f
